Volunteer ID,Water Sample ID from Collection Sheets,N Result (PPM),Additional Info,Date,Barnstable Country Health Lab Collection Address,X,Y,,,,,,,,,,,,,,,
36,ST-PW-034-N,3.4,,9/25/2018,ST-PW-034-N,-69.994062,41.825637,,,,,,,,,,,,,,,
37,ST-PW-068-N,1.1,,9/26/2018,Lab Reported collection address as ST-PW-68-N,-69.975243,41.827806,,,,,,,,,,,,,,,
38,ST-PW-015-N,12,,8/22/2018,ST-PW-015-N,-70.080701,41.747076,,,,,,,,,,,,,,,
39,ST-PW-033-N,ND,,8/22/2018,ST-PW-033-N,-70.126142,41.712975,,,,,,,,,,,,,,,
40,ST-PW-024-N,9.9,,8/22/2018,ST-PW-024-N,-70.12683,41.71113,,,,,,,,,,,,,,,
41,ST-PW-042-N,0.08,,9/25/2018,ST-PW-042-N,-70.000871,41.927409,,,,,,,,,,,,,,,
42,ST-PW-041-N,0.36,,9/25/2018,ST-PW-041-N,-70.038063,41.955498,,,,,,,,,,,,,,,
44,ST-PW-091-N,ND,,11/8/2018,ST-PW-091-N,-70.385103,41.730786,,,,,,,,,,,,,,,
45,ST-PW-095-N,1.2,,11/8/2018,ST-PW-095-N,-70.433793,41.71914,,,,,,,,,,,,,,,
46,ST-PW-061-N,0.64,,9/26/2018,Lab Reported collection address as ST-PW-61-N,-70.078032,42.027732,,,,,,,,,,,,,,,
47,ST-PW-094-N,1.4,,11/8/2018,ST-PW-094-N,-70.388051,41.703462,,,,,,,,,,,,,,,
51,ST-PW-050-N,0.9,,9/25/2018,ST-PW-050-N,-70.019294,41.930694,,,,,,,,,,,,,,,
52,ST-PW-057-N,0.31,,9/26/2018,Lab Reported collection address as ST-PW-57-N,-70.073613,42.010596,,,,,,,,,,,,,,,
53,ST-PW-128-N,ND,,11/7/2018,ST-PW-079-N is also used for volunteer number 87 on 9/25/18. Changed to ST-PW-128 as per Laurel's request.,-70.388172,41.710032,,,,,,,,,,,,,,,
55,ST-PW-038-N,1.6,,9/25/2018,ST-PW-038-N,-70.047243,41.93973,,,,,,,,,,,,,,,
56,ST-PW-108-N,6.2,,12/10/2018,ST-PW-108-N,-70.448193,41.660586,,,,,,,,,,,,,,,
58,ST-PW-013-N,0.49,,8/21/2018,ST-PW-013-N,-70.121034,41.715738,,,,,,,,,,,,,,,
60,ST-PW-043-N,0.41,,9/25/2018,ST-PW-043-N,-70.020644,41.93064,,,,,,,,,,,,,,,
62,ST-PW-032-N,ND,,9/25/2018,ST-PW-032-N,-70.000781,41.804955,,,,,,,,,,,,,,,
65,ST-PW-109-N,4.8,,12/10/2018,ST-PW-109-N,-70.446762,41.666238,,,,,,,,,,,,,,,
66,ST-PW-026-N,0.16,,8/22/2018,ST-PW-026-N,-70.052004,41.746482,,,,,,,,,,,,,,,
67,ST-PW-096-N,6.4,,11/8/2018,ST-PW-096-N,-70.385022,41.687685,,,,,,,,,,,,,,,
68,ST-PW-065-N,ND,,9/26/2018,ST-PW-065-N,-69.984311,41.89284,,,,,,,,,,,,,,,
71,ST-PW-084-N,0.16,,11/7/2018,ST-PW-084-N,-70.452212,41.678046,,,,,,,,,,,,,,,
72,ST-PW-087-N,9.9,,11/7/2018,ST-PW-087-N,-70.402343,41.72121,,,,,,,,,,,,,,,
73,ST-PW-066-N,0.07,,9/26/2018,ST-PW-066-N,-69.986462,41.868189,,,,,,,,,,,,,,,
75,ST-PW-029-N,1.2,,8/22/2018,ST-PW-029-N,-70.001231,41.750478,,,,,,,,,,,,,,,
78,ST-PW-039-N,0.96,,9/25/2018,ST-PW-039-N,-70.053764,41.936094,,,,,,,,,,,,,,,
79,ST-PW-017-N,7.8,,8/22/2018,ST-PW-017-N,-70.05204,41.750433,,,,,,,,,,,,,,,
80,ST-PW-045-N,1.3,,9/25/2018,ST-PW-045-N,-70.025701,41.916276,,,,,,,,,,,,,,,
81,ST-PW-012-N,0.74,,8/21/2018,ST-PW-012-N,-70.098282,41.747652,,,,,,,,,,,,,,,
83,ST-PW-117-N,ND,,12/10/2018,ST-PW-117-N,-70.432614,41.719572,,,,,,,,,,,,,,,
85,ST-PW-002-N,0.1,,8/21/2018,ST-PW-002-N,-70.069343,41.733279,,,,,,,,,,,,,,,
86,ST-PW-046-N,4.5,,9/25/2018,ST-PW-046-N,-70.018641,41.9292,,,,,,,,,,,,,,,
87,ST-PW-079-N,5.3,,9/25/2018,On field sampling sheet original number is crossed off and ST-PW-079-N is penciled in. ST-PW-079-N is also used for volunteer number 53 on 11/7/18.,-69.952693,41.766237,,,,,,,,,,,,,,,
90,ST-PW-059-N,0.12,,9/26/2018,Lab Reported collection address as ST-PW-59-N,-70.028073,41.916474,,,,,,,,,,,,,,,
91,ST-PW-078-N,ND,,11/7/2018,ST-PW-078-N,-70.451132,41.751018,,,,,,,,,,,,,,,
92,ST-PW-119-N,1.6,,12/10/2018,ST-PW-119-N,-70.47414,41.677434,,,,,,,,,,,,,,,
94,ST-PW-036-N,3.3,,9/25/2018,ST-PW-036-N,-69.9966,41.826843,,,,,,,,,,,,,,,
95,ST-PW-112-N,3,,12/10/2018,ST-PW-112-N,-70.38756,41.732334,,,,,,,,,,,,,,,
99,ST-PW-025-N,0.99,,8/22/2018,ST-PW-025-N,-70.129494,41.726754,,,,,,,,,,,,,,,
100,ST-PW-049-N,0.19,,9/25/2018,ST-PW-049-N,-70.025832,41.955426,,,,,,,,,,,,,,,
101,ST-PW-124-N,ND,,12/10/2018,ST-PW-124-N,-70.40349,41.708115,,,,,,,,,,,,,,,
102,ST-PW-071-N,6.5,,9/26/2018,Lab Reported collection address as ST-PW-71-N,-69.974051,41.809419,,,,,,,,,,,,,,,
109,ST-PW-052-N,1.1,,9/26/2018,ST-PW-052-N,-70.064091,42.005115,,,,,,,,,,,,,,,
111,ST-PW-014-N,ND,,8/22/2018,ST-PW-014-N,-70.111103,41.726043,,,,,,,,,,,,,,,
112,ST-PW-092-N,0.13,,11/8/2018,ST-PW-092-N,-70.391331,41.737572,,,,,,,,,,,,,,,
114,ST-PW-037-N,1.2,,9/25/2018,ST-PW-037-N,-69.978393,41.856552,,,,,,,,,,,,,,,
118,ST-PW-115-N,3,,12/10/2018,ST-PW-115-N,-70.396141,41.715918,,,,,,,,,,,,,,,
120,ST-PW-010-N,1.3,,8/21/2018,ST-PW-010-N,-70.101463,41.753655,,,,,,,,,,,,,,,
124,ST-PW-011-N,1.3,,8/21/2018,ST-PW-011-N,-70.130871,41.703102,,,,,,,,,,,,,,,
125,ST-PW-118-N,3.9,,12/10/2018,ST-PW-118-N,-70.431071,41.67612,,,,,,,,,,,,,,,
126,ST-PW-073-N,0.31,,11/7/2018,ST-PW-073-N,-70.60527,41.711193,,,,,,,,,,,,,,,
127,ST-PW-107-N,7.9,,11/8/2018,ST-PW-107-N,-70.463893,41.608638,,,,,,,,,,,,,,,
128,ST-PW-105-N,2.9,,11/8/2018,ST-PW-105-N,-70.469262,41.652306,,,,,,,,,,,,,,,
130,ST-PW-099-N,ND,,11/8/2018,ST-PW-099-N,-70.354512,41.69961,,,,,,,,,,,,,,,
131,ST-PW-056-N,2.5,,9/26/2018,Lab Reported collection address as ST-PW-05-N,-70.09857,42.042132,,,,,,,,,,,,,,,
132,ST-PW-082-N,ND,,11/7/2018,ST-PW-082-N,-70.404611,41.738715,,,,,,,,,,,,,,,
133,ST-PW-006-N,1,,8/21/2018,ST-PW-006-N,-70.009637,41.710414,,,,,,,,,,,,,,,
134,ST-PW-008-N,1.4,,8/21/2018,ST-PW-008-N,-70.011693,41.679036,,,,,,,,,,,,,,,
135,ST-PW-062-N,1,,9/26/2018,ST-PW-062-N,-69.987893,41.843709,,,,,,,,,,,,,,,
136,ST-PW-070-N,0.61,,9/26/2018,Lab Reported collection address as ST-PW-70-N,-69.981543,41.81049,,,,,,,,,,,,,,,
138,ST-PW-072-N,0.17,,9/26/2018,Lab Reported collection address as ST-PW-72-N,-70.00389,41.798844,,,,,,,,,,,,,,,
139,ST-PW-051-N,1.8,,9/25/2018,ST-PW-051-N,-69.993212,41.85783,,,,,,,,,,,,,,,
140,ST-PW-054-N,16,,9/26/2018,ST-PW-054-N,-70.072312,41.963976,,,,,,,,,,,,,,,
143,ST-PW-031-N,1,,9/25/2018,ST-PW-031-N,-69.973934,41.828706,,,,,,,,,,,,,,,
147,ST-PW-121-N,4.3,,12/10/2018,ST-PW-121-N,-70.421913,41.681358,,,,,,,,,,,,,,,
149,ST-PW-009-N,0.41,,8/21/2018,ST-PW-009-N,-69.995061,41.695578,,,,,,,,,,,,,,,
151,ST-PW-102-N,1.8,,11/8/2018,ST-PW-102-N,-70.47234,41.677929,,,,,,,,,,,,,,,
152,ST-PW-053-N,3.8,,9/26/2018,ST-PW-053-N,-70.06014,41.990796,,,,,,,,,,,,,,,
153,ST-PW-074-N,ND,,11/7/2018,ST-PW-074-N,-70.580632,41.629554,,,,,,,,,,,,,,,
154,ST-PW-114-N,0.13,,12/10/2018,ST-PW-114-N,-70.408022,41.723262,,,,,,,,,,,,,,,
156,ST-PW-018-N,0.64,,8/22/2018,ST-PW-018-N,-69.988891,41.822289,,,,,,,,,,,,,,,
158,ST-PW-126-N,ND,,12/10/2018,ST-PW-126-N,-70.384482,41.714163,,,,,,,,,,,,,,,
166,ST-PW-123-N,0.39,,12/10/2018,ST-PW-123-N,-70.405002,41.709852,,,,,,,,,,,,,,,
168,ST-PW-080-N,ND,,11/7/2018,ST-PW-080-N,-70.385724,41.705442,,,,,,,,,,,,,,,
172,ST-PW-113-N,0.24,,12/10/2018,ST-PW-113-N,-70.394994,41.737815,,,,,,,,,,,,,,,
175,ST-PW-122-N,0.95,,12/10/2018,ST-PW-122-N,-70.382642,41.686155,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
